,building_id,manager_id,display_address,street_address
127,5134,2218,2510,6755
128,3633,3004,9247,8927
129,4585,3004,9574,23311
130,1,318,7036,1211
131,5077,2679,7525,21801
132,3002,2162,7783,3301
133,1,1723,9087,7591
134,3383,214,11702,8511
135,4169,854,8380,5828
136,2916,84,8930,16247
137,4856,735,13669,4108
138,1,1925,7389,14506
139,4951,308,9568,22719
140,1,348,10195,19145
141,5985,517,9807,20590
142,1,2961,9031,13451
143,1033,748,8157,12980
144,4137,2835,13113,375
145,6334,1265,12383,2994
146,5930,1698,11928,12503
147,2791,151,7373,16928
148,4582,2610,8478,18450
149,599,241,8399,17696
150,2177,241,8541,13733
151,5921,3207,7523,21581
152,1,1203,12884,10054
153,1,2752,13278,19212
154,5501,2161,13496,20944
155,4746,2445,11666,1607
156,3539,1444,7531,36
157,5391,1708,32,1293
158,488,1074,4128,14711
159,0,2058,1877,5990
160,1,1401,9203,14263
161,543,665,8930,14034
162,1476,1180,9595,15374
163,1,2611,8685,23203
164,4118,1444,13357,3013
165,1470,1740,12226,13955
166,5609,3004,5039,5666
167,6552,2052,32,1251
168,1292,2638,8312,15991
169,1755,1738,7349,3029
170,2637,3004,32,13658
171,5518,415,8190,13595
172,1,1627,32,19050
173,6225,162,8035,1217
174,1,3004,6369,1801
175,3480,1128,11058,15386
176,2718,3339,7544,9893
177,2032,1926,7048,1661
178,633,2050,9498,22126
179,1749,884,9214,4588
180,1,2449,12903,19628
181,6475,2902,12518,20872
182,2757,487,9283,428
183,4461,2048,32,762
184,2536,917,9343,11640
185,1,563,2187,9884
186,1,506,9066,8592
187,717,1313,12981,4136
188,705,588,12862,16764
189,1,208,3141,10943
190,1,715,9183,9166
191,3142,665,9139,16094
192,4656,3004,12254,13036
193,1178,2466,7673,118
194,3290,1156,9025,5856
195,264,869,12255,17715
196,4118,1952,13357,3013
197,1,576,13110,18469
198,2664,867,12298,10198
199,4974,872,3074,20460
200,1,938,9326,14124
201,4086,401,9031,13451
202,2616,2237,5397,19389
203,1,1627,32,22264
204,5217,51,12862,22663
205,2510,1444,32,19632
206,832,3077,12893,971
207,5017,616,8409,4412
208,6534,3004,9087,3340
209,3060,2403,8752,511
210,2500,1298,13245,18471
211,2219,3183,11460,19224
212,5356,818,12201,14271
213,4258,2482,12975,20939
214,0,2500,9425,6049
215,1,1785,8898,7535
216,5993,2288,13492,11202
217,4490,818,8144,10998
218,323,3004,8930,15461
219,3052,2806,3838,2615
220,2202,2392,7433,4327
221,1,3307,12953,6742
222,5048,929,8228,4022
223,4048,2610,8196,8713
224,6028,202,13278,19212
225,53,64,32,6508
226,1631,2751,32,11494
227,0,3039,774,2303
228,6355,2482,6958,22054
229,1273,3004,8640,7270
230,4904,1444,10244,3500
231,1,622,12994,11136
232,4813,1926,12888,22381
233,1492,2724,1540,4946
234,0,1317,2257,7615
235,6263,702,12903,19628
236,2767,2757,11296,21678
237,1208,2279,32,9155
238,111,1737,7848,12649
239,1,2488,10789,5252
240,6182,2159,4782,9473
241,2185,332,13451,6489
242,3531,2998,8644,6325
243,4705,444,12386,354
244,3288,2871,0,21737
245,3596,898,8056,8570
246,490,3136,12880,10051
247,5598,588,9725,14908
248,1,2634,11050,646
249,3130,3004,8111,9126
250,2954,487,7442,1389
251,1,1048,8930,16247
252,4086,2353,7985,13393
253,6184,574,10243,5210
254,506,1921,9330,15183
255,1,1116,12940,9559
256,4530,1250,10472,20553
257,5833,2992,3303,11536
258,1,904,9031,8354
259,713,2766,9183,15113
260,5394,2763,13524,390
261,5313,3004,10051,238
262,5285,3294,9169,15112
263,2850,609,13541,22396
264,1,1420,9595,18952
265,5594,1213,13473,10039
266,6078,3004,8009,6659
267,1,994,11646,23491
268,2791,1378,7375,16930
269,2469,687,7625,3844
270,1874,2212,7696,14737
271,5217,1233,12862,22663
272,697,3126,32,4364
273,1,2508,9369,1237
274,1931,2870,8446,18723
275,791,1293,9265,17921
276,1185,1647,9675,10169
277,3815,776,12226,17837
278,1,2967,12884,10054
279,4490,2998,8144,10998
280,1,1546,10381,16908
281,837,869,12475,5385
282,1212,2581,32,3051
283,421,1567,8930,8589
284,4705,444,12386,354
285,1,2106,7173,22173
286,743,1297,13324,9199
287,1130,990,1608,5141
288,3255,2058,3159,11035
289,4074,582,7137,19663
290,6316,2253,7401,1499
291,1,1905,13311,16050
292,5713,283,7990,129
293,1931,2048,9276,18729
294,967,0,3607,12743
295,3789,2048,9306,17868
296,216,749,13318,11275
297,1,2734,13074,7073
298,616,2626,13295,3407
299,1,1957,13068,18648
300,2052,2058,4293,15322
301,3921,818,11687,9532
302,2042,1629,10244,5607
303,2147,2615,7626,21713
304,1,1359,7442,22638
305,642,1543,4137,6633
306,2291,2377,8521,11449
307,3077,217,32,13526
308,1,2,13468,15399
309,5794,214,8558,17967
310,764,934,32,1528
311,5297,689,7442,10739
312,939,3004,6489,14482
313,1,3116,12007,19060
314,5985,3035,9807,20590
315,1995,1444,9353,15941
316,4899,262,7701,6958
317,1950,2271,5457,22901
318,5635,2876,6773,22806
319,1,207,7310,9478
320,1127,648,7847,12930
321,2074,2986,8210,13240
322,1910,2048,32,9502
323,0,2482,10196,4128
324,5714,217,8044,12783
325,14,701,9369,6294
326,4171,825,9153,13641
327,4528,1084,13454,3730
328,5391,1098,32,1293
329,4470,2535,10257,11753
330,0,2606,7830,19937
331,6058,2075,9110,2667
332,382,3187,8565,8586
333,3968,1262,9186,9714
334,1,1855,32,8772
335,403,3108,5914,20900
336,6334,2742,13344,3011
337,3254,2338,12903,5944
338,5299,3241,11178,4792
339,371,3004,8245,15694
340,1209,85,8946,2959
341,4634,3132,4009,14376
342,2646,173,12254,18328
343,2209,2152,8521,7398
344,5313,3004,10051,238
345,1,2563,11460,20286
346,2133,526,12195,1913
347,1,1381,9631,14624
348,1690,1084,7525,22609
349,1,1495,13344,2689
350,1,189,9110,8493
351,4921,710,10117,12910
352,717,1313,12981,4136
353,0,1699,8534,6672
354,680,868,7490,20603
355,3815,1103,13263,17852
356,5447,30,12462,5919
357,6172,2103,4502,16150
358,3089,2425,13263,16231
359,1043,253,2098,6938
360,3596,2870,9066,8592
361,701,2836,4053,14500
362,2279,2422,13318,9563
363,3315,3339,11798,10609
364,3612,908,8027,7498
365,3067,3207,12244,19871
366,3788,2052,10408,9687
367,1860,2202,32,16667
368,2030,616,12447,5740
369,4912,1386,13592,8933
370,1,1504,9263,15116
371,3364,2236,32,5493
372,1,2819,9221,20212
373,0,3004,3013,10576
374,5562,2485,11941,19805
375,0,3004,4778,11580
376,2343,2755,7199,3099
377,4345,3004,12390,6811
378,1,1090,32,8544
379,2589,2053,12766,4003
380,2834,2407,5513,19778
381,4813,3004,32,22383
382,1066,468,6983,28
383,247,242,10536,9211
384,925,2896,8239,2726
385,816,2271,10345,1687
386,2625,511,9238,14119
387,3989,1319,13339,19052
388,1632,217,7930,1506
389,2028,578,32,9353
390,4208,2236,13054,11268
391,4370,687,10267,14206
392,1,181,9760,8231
393,1,1000,5455,2203
394,2057,239,12842,10671
395,1,767,9269,18774
396,5538,173,12273,19032
397,3046,1444,4886,14884
398,4872,3275,10209,1029
399,4118,3004,13357,3013
400,1537,1873,10905,5651
401,0,1316,32,19183
402,1467,3242,2457,8535
403,5356,134,13257,14288
404,1,3004,9595,5561
405,6355,818,6958,22054
406,4627,908,11824,6307
407,2909,1567,9190,13571
408,2936,148,4087,14603
409,4543,2662,9276,15867
410,2609,2896,12666,7457
411,1,3093,7955,23074
412,1,1932,608,1772
413,6042,2707,7267,9326
414,2838,686,5054,17991
415,16,358,13101,11197
416,1317,2902,9595,4942
417,5158,3004,1060,9931
418,1908,3077,10887,20514
419,3583,956,9025,17533
420,2687,384,8040,7560
421,555,2124,11050,1854
422,4450,1451,12858,14450
423,2989,908,7442,22638
424,1209,665,8946,2959
425,6186,2617,9326,11237
426,0,0,29,10402
427,3457,94,12311,18332
428,1,2732,10381,23377
429,4490,2870,9115,11021
430,1879,1554,8414,6018
431,705,988,12862,16764
432,4894,2338,32,9377
433,2181,1242,11293,7313
434,5791,2146,13072,17997
435,1544,455,7218,5072
436,1,1670,7355,14074
437,5432,2103,4607,16565
438,5217,51,12862,22663
439,5085,3004,13506,7858
440,2958,616,8483,8165
441,289,1250,9425,7762
442,2336,2048,12996,11088
443,4086,1134,7990,13396
444,5145,2822,8338,6666
445,3646,3004,8013,3667
446,3099,3035,1891,6055
447,4349,1298,8917,15579
448,3156,3126,32,10320
449,1,3041,9228,7839
450,1470,766,13263,13975
451,1597,1873,32,4362
452,1,1123,9214,4588
453,697,2542,32,4364
454,43,3045,12143,18708
455,3378,3295,13393,6750
456,1,1339,7442,22638
457,1,1910,13374,9096
458,1100,217,7531,36
459,5313,588,10051,238
460,5645,616,12364,16307
461,5208,1716,3069,2041
462,6460,1444,9031,3682
463,5360,2301,11763,2227
464,3989,2055,13339,19052
465,1,351,12884,10054
466,2256,924,8478,13429
467,0,679,10784,21783
468,3815,444,13263,17852
469,2916,3004,8930,16247
470,5644,2103,6248,21725
471,2219,1444,325,19222
472,6256,869,8158,12000
473,2406,1298,12906,10794
474,6042,1497,7265,9323
475,0,3004,32,5742
476,616,3004,12298,3380
477,4813,1282,12895,22384
478,2694,239,11992,18111
479,1160,524,9669,9718
480,3506,3004,4366,15591
481,6040,2058,108,124
482,1,293,38,8
483,6320,1788,8040,15075
484,3910,2700,9725,13612
485,2500,1298,13245,18471
486,1176,1444,10849,5719
487,5092,3295,8930,6139
488,5617,2607,6080,21326
489,4632,1833,1772,4961
490,1,23,7389,14506
491,5370,9,9312,17869
492,3254,988,12903,5944
493,2596,2741,7576,16155
494,2336,2293,12996,11088
495,1643,2095,9656,9312
496,4173,444,9343,15026
497,625,3004,10244,17116
498,0,227,8215,14052
499,5092,2281,7828,6131
500,2703,2610,11957,18462
501,2507,2960,9595,3951
502,6328,2535,8399,14998
503,3802,2559,3080,14779
504,5641,3004,12221,16951
505,1687,2770,7148,322
506,5641,2757,13263,16958
507,6557,1512,630,1833
508,2219,2394,9897,19222
509,1410,1737,9011,14835
510,1,3004,12792,19719
511,4700,2447,3427,11975
512,5676,1180,11855,19363
513,6169,2265,8597,11075
514,5162,1566,9722,5636
515,6028,1412,12254,19198
516,4895,841,11850,19660
517,1,1401,13672,4798
518,4169,1567,9238,5869
519,1,1659,10340,20377
520,1,1547,10450,11142
521,6185,1324,8446,16318
522,1,1063,8895,11844
523,5870,749,9020,8845
524,3111,1591,8045,3045
525,6185,3218,9276,16332
526,2939,3004,9175,18813
527,5366,1963,12950,2639
528,1410,1737,9011,14835
529,1039,2021,5663,20236
530,1711,750,11178,316
531,1,1005,2192,7305
532,6191,444,32,11094
533,4287,1980,11346,22325
534,1,189,32,762
535,4301,582,7135,20097
536,268,1355,12639,17592
537,1,233,10381,4372
538,3331,616,8607,4631
539,0,460,10193,16600
540,369,750,11178,3028
541,2301,2464,393,1040
542,5592,102,9147,1772
543,4008,1074,32,1282
544,1,95,32,14844
545,1,1723,13263,16958
546,1,320,7611,6543
547,1,1401,13303,8547
548,5322,30,12244,19767
549,1,3141,11845,2512
550,6448,699,6369,1807
551,3254,1926,12899,5941
552,0,2026,8361,10908
553,677,1291,2187,9884
554,708,2271,8302,7720
555,5356,444,13257,14288
556,1,1085,11297,21680
557,2989,2822,7433,22636
558,1,726,9396,16273
559,1,742,32,9746
560,5882,2561,7053,7198
561,6340,2854,13271,16854
562,3598,647,8079,10992
563,1,827,10541,10270
564,1178,542,7456,118
565,1819,332,12946,6532
566,1,456,7278,5494
567,5162,1451,9722,5636
568,6313,242,5006,17732
569,0,1855,3593,12702
570,3978,3093,12255,15515
571,3692,253,2852,10092
572,1,1203,9926,22521
573,543,665,8930,14034
574,4187,75,8068,6406
575,5208,1179,32,2044
576,3942,2605,12221,15044
577,6552,2358,10553,1250
578,1,2112,2241,7540
579,3613,2092,32,16214
580,3815,2385,12221,17833
581,1873,521,7655,17930
582,705,1926,12858,16761
583,860,1116,13404,3492
584,546,3333,3913,14075
585,1423,1204,9595,3951
586,2690,2946,13311,16050
587,5391,3004,10047,1292
588,512,2115,11065,5088
589,3971,455,6801,22874
590,2256,3209,9300,13467
591,450,3004,10363,250
592,1034,404,8381,11722
593,1,89,13278,18343
594,3703,568,13672,4973
595,4450,2379,12862,14451
596,5794,2152,8558,17967
597,4045,217,7845,18291
598,4094,1206,9329,6067
599,1,208,13271,20431
600,1,2106,11125,17855
601,5597,254,11758,6074
602,1,189,9347,11469
603,4813,1708,32,22383
604,2372,2585,11419,7450
605,1401,1460,13137,3993
606,3071,2545,12966,20879
607,5037,665,13502,12439
608,2406,2996,12905,10793
609,1,726,9329,15652
610,1,368,13339,6317
611,177,2766,9306,11398
612,4132,33,8032,5809
613,4287,1980,11346,22325
614,5921,30,7523,21581
615,6382,1038,32,21023
616,6320,1264,9056,15107
617,3002,1189,7783,3301
618,2664,30,12298,10198
619,4028,444,9087,7591
620,3695,2743,9049,2739
621,5174,3004,11682,3037
622,0,3004,8059,6660
623,1632,3126,8992,1514
624,3403,2545,9335,18234
625,1907,2882,7053,477
626,2448,423,32,7421
627,6295,217,9011,6511
628,2600,1758,32,18205
629,3967,1655,4930,21702
630,2757,0,9283,428
631,5447,3004,12462,5919
632,1,646,1441,16411
633,5940,2049,1034,13877
634,1751,2464,11072,19934
635,1542,233,9463,14338
636,1,3000,1774,3565
637,6429,2114,1543,4951
638,607,63,32,6445
639,3963,1716,7901,14740
640,1,2024,10836,1813
641,1,1910,9203,13836
642,1,3243,13468,1640
643,1877,776,10368,19189
644,4132,929,8027,5807
645,3383,2959,11702,8511
646,1925,1826,5872,20274
647,1,531,10363,23372
648,2841,589,9251,12383
649,1915,647,11419,7689
650,3007,924,11178,4431
651,5641,1206,13263,16958
652,0,1364,3616,13452
653,4610,3235,32,22920
654,1338,1119,9100,11115
655,4217,1386,13590,6991
656,1,1547,8992,12319
657,1118,2339,9561,486
658,6410,937,12185,14520
659,2155,2279,8565,17866
660,3596,1753,8054,8569
661,2028,869,7701,9345
662,1,2563,10541,3471
663,920,1050,9122,2308
664,2989,2836,7442,22638
665,1,1340,11149,10454
666,1,1069,8939,12670
667,1761,1671,9269,17779
668,1,2316,9300,4706
669,697,869,8045,4340
670,436,1926,13538,90
671,1227,3203,4939,2111
672,3717,2265,8541,4349
673,1791,1444,12917,902
674,934,2444,6037,15421
675,1,742,6971,9319
676,3548,1444,7451,7987
677,2154,648,32,1344
678,4279,2425,9481,10452
679,3500,2058,1016,3083
680,4092,3339,8487,3856
681,3165,1084,13318,16432
682,3576,3339,8405,13296
683,5882,2338,7053,7198
684,4095,2279,13203,9992
685,3917,2672,12273,11045
686,3695,1298,9049,2739
687,4401,2436,13247,598
688,5485,633,13254,11984
689,6133,1294,11747,9596
690,2390,332,10832,14315
691,1,3054,32,10477
692,3286,1084,13303,18083
693,2448,1312,32,7421
694,4371,699,12895,16970
695,259,766,8988,11946
696,3457,1294,12312,18333
697,4673,268,13339,6317
698,5585,3065,9163,3802
699,6185,2075,9276,16332
700,3308,2048,9381,5169
701,3843,1137,10073,19848
702,436,51,13541,94
703,1002,2767,32,14184
704,1,935,13344,8224
705,6058,517,8135,2657
706,2757,217,8453,425
707,919,0,2687,9503
708,6554,330,11228,6151
709,6472,2303,5711,22677
710,5565,424,13459,12511
711,5077,473,7525,21801
712,1385,2783,8930,16395
713,5158,3004,1060,9931
714,0,1320,577,1682
715,2500,1355,12174,18466
716,4813,811,12895,22384
717,3815,3004,12221,17833
718,5707,2058,5123,18323
719,1901,937,13580,10925
720,6497,1563,1776,14236
721,1,2465,13278,14289
722,4813,2805,12895,22384
723,5538,2742,32,19050
724,1,392,9362,13931
725,485,750,8558,17748
726,63,2425,10369,15265
727,2791,761,7375,16930
728,6019,683,11269,13702
729,3194,769,11460,21181
730,4813,811,9619,22384
731,1620,2638,7999,4626
732,1,2346,11178,5152
733,5281,2058,11482,23458
734,1,1459,10524,53
735,4370,2103,10267,14206
736,3815,665,13263,17852
737,1,3004,9469,22269
738,3830,2136,7178,13317
739,229,1062,13257,17605
740,5870,583,9020,8845
741,1,1401,13278,18343
742,5600,2662,8619,11791
743,6497,1873,1776,14236
744,1391,639,13239,15061
745,5559,2338,13330,16615
746,1,1357,7442,22638
747,3572,242,7760,14670
748,1,3004,12954,21894
749,4171,2342,9150,13640
750,6320,444,9056,15107
751,4923,2618,3630,12866
752,2671,2757,8386,9046
753,5857,848,11015,1693
754,0,1706,7869,14739
755,6124,2447,363,955
756,450,971,10363,250
757,1897,2339,11997,8881
758,6020,399,10847,10666
759,5358,2783,8873,22209
760,5446,503,9343,12114
761,3014,2331,7577,15415
762,3148,1128,12210,16608
763,2830,1967,12557,9390
764,6020,651,10843,10665
765,1,646,12884,10054
766,6057,308,8645,12943
767,2827,2414,13303,11340
768,6274,491,1972,6412
769,0,2727,3005,6625
770,2679,3065,8393,15668
771,3919,2964,32,22795
772,4831,2281,13524,20969
773,1,2695,9115,7104
774,6062,3207,12407,19712
775,0,1386,11598,9816
776,4086,1277,7990,13396
777,1,2344,13257,17605
778,1,1180,7490,21594
779,4505,495,8488,5838
780,4505,2236,9306,5871
781,184,1770,3973,14265
782,5273,1637,3473,9440
783,6028,1412,12254,19198
784,575,1698,8674,19857
785,5570,517,11490,7482
786,6188,3004,8477,18617
787,5281,2236,9276,13929
788,5079,3004,32,9201
789,5051,1002,7502,20636
790,1,1457,8917,15163
791,1,2744,13398,9040
792,616,1444,13296,3408
793,4063,1281,8451,1087
794,4790,3004,2401,8265
795,4511,2601,6640,4900
796,1,3041,11297,21680
797,5447,2678,12466,5921
798,0,687,7113,22148
799,4054,2076,11072,6149
800,1504,287,12067,19801
801,0,1770,1936,6236
802,89,15,10244,5425
803,1,1297,10269,14207
804,1,2736,13536,23740
805,6534,1467,9087,3340
806,2878,3004,7090,115
807,5800,361,12632,3640
808,6560,622,13149,17674
809,1057,1674,9312,15024
810,5217,3004,9581,22660
811,2791,444,7373,16928
812,0,2097,2316,7893
813,269,343,2710,9594
814,5356,1277,13257,14288
815,1486,2870,12248,20425
816,1410,1737,9011,14835
817,4813,907,12895,22384
818,4144,1204,7231,10732
819,0,1256,9210,7633
820,2767,2805,11296,21678
821,4627,2050,13054,6313
822,5162,3112,9725,5637
823,3479,1165,3279,10146
824,5607,1853,1463,4647
825,1522,3083,8558,18585
826,1,1401,9025,17533
827,2081,2662,13339,12356
828,1863,321,8374,14994
829,0,253,2172,7242
830,4141,2667,13333,19114
831,0,1651,7471,20330
832,1,1103,32,6055
833,4495,841,11800,10087
834,705,2652,12853,16760
835,908,2013,13454,4655
836,891,2103,1625,5177
837,2516,725,6598,22364
838,5985,517,9807,20590
839,0,1526,10858,16123
840,1,716,8853,11796
841,5888,2708,7701,9756
842,4349,1722,8917,15579
843,1,488,12996,11088
844,0,3125,2018,6581
845,1,104,13239,19005
846,1998,1573,8967,12671
847,1,2736,10047,23354
848,1,1264,8959,13162
849,3077,3004,32,13526
850,1,55,9309,8412
851,3040,1708,7485,3238
852,4190,1128,12370,15477
853,1910,3004,8175,9486
854,779,1103,1776,9617
855,6270,1690,8169,1558
856,1490,1444,7104,22906
857,1,2117,11079,21670
858,2245,1567,9110,13017
859,2856,1567,11419,586
860,3777,332,6964,22689
861,1227,1873,5455,2112
862,1,659,2146,7163
863,5287,924,8496,12471
864,2838,1759,12115,17990
865,5288,741,8240,15237
866,2280,2039,8917,6043
867,4460,1926,10771,5883
868,532,3004,8227,13539
869,3343,3004,11930,12033
870,1,722,9203,14434
871,1774,2278,7525,21230
872,3672,600,7491,21594
873,0,2829,9907,14843
874,1,3004,32,23023
875,4813,2610,12895,22384
876,2717,1635,4006,14367
877,2864,3004,6912,412
878,6454,1444,13468,2891
879,6290,2876,79,65
880,2152,2218,6159,4192
881,3610,1751,32,8195
882,1,159,11858,19793
883,2828,2367,7148,3441
884,934,3024,6037,15421
885,2188,1066,4251,15060
886,6032,2281,8312,15697
887,6402,2662,9335,16599
888,1,3041,3214,11268
889,5217,1751,12862,22663
890,5335,2075,9169,15608
891,1,1600,13158,20210
892,3815,3249,12221,17833
893,1,3183,13506,17614
894,2652,2048,9254,10943
895,5587,239,11460,20830
896,1276,1929,12469,9385
897,1,3004,12903,23685
898,1,3176,9300,16596
899,1624,3312,13671,3179
900,3889,2854,7500,21316
901,5028,2352,11869,8946
902,1,2112,4507,16174
903,5641,1084,13263,16958
904,2464,1609,13339,9923
905,4579,1386,11622,6082
906,2646,2394,9897,18343
907,2279,3004,13318,9563
908,1066,2564,6983,28
909,6355,2728,6958,22054
910,3023,2836,7310,14420
911,111,2743,8939,12670
912,6534,1567,9087,3340
913,1699,29,9924,4607
914,1,1501,8898,20034
915,4813,2161,12895,22384
916,3843,2444,10072,19848
917,3935,2743,13364,16773
918,5893,1273,6848,18719
919,1,2058,11478,23456
920,3660,2161,13404,5965
921,1487,749,8939,19938
922,3895,834,11346,3061
923,1276,2236,12473,9388
924,3815,1298,13263,17852
925,196,2425,32,3729
926,4894,1749,32,9374
927,1,1533,1717,5441
928,1,3045,7057,10194
929,2680,254,7822,8331
930,5607,2108,11511,4649
931,5037,490,12654,12424
932,3935,2058,11486,23461
933,5283,217,7049,16438
934,4183,2319,7876,3303
935,0,3073,8903,13312
936,1,521,10135,6517
937,214,588,10911,5722
938,2173,1479,11065,2676
939,1951,3004,9122,6186
940,1486,408,12244,20422
941,3812,2236,6227,22074
942,335,824,13496,9568
943,1,1090,11127,21674
944,5322,2767,13271,19776
945,812,2843,7055,15789
946,6061,595,8078,11379
947,1,767,32,9201
948,1,3211,10835,8198
949,4190,1734,12367,15474
950,4086,1344,7990,13396
951,2159,1825,32,13045
952,6375,3225,32,4987
953,3007,651,11178,4431
954,4813,3004,12878,22380
955,5313,588,10051,238
956,2909,2039,9190,13571
957,6263,339,12903,19628
958,1,3004,12049,18041
959,0,647,32,15626
960,5695,2271,8548,6182
961,3160,2058,141,229
962,6028,1412,12254,19198
963,1,2833,9134,10938
964,1,1024,32,2148
965,3077,1872,12273,13513
966,5299,602,11178,4792
967,2687,1298,9056,7587
968,5470,1647,13672,4449
969,3448,2498,13379,19637
970,1446,655,4885,14883
971,6213,388,10892,8766
972,2916,3028,7828,16236
973,5821,3029,2212,7367
974,868,256,7160,5683
975,1,376,12805,20574
976,5604,2673,4094,8558
977,5092,1298,8930,6139
978,5688,1155,13672,2775
979,2464,444,12377,9911
980,3263,2711,12151,17059
981,6406,1444,13210,17065
982,3807,2212,8887,12591
983,4451,1364,11127,22468
984,3332,2346,8365,15206
985,6280,1610,10369,18917
986,4856,459,13672,4111
987,6018,3312,12374,9026
988,2769,2783,10814,4151
989,1222,2048,9269,12411
990,5523,2046,8346,6014
991,2984,2099,9095,5474
992,4370,3024,10267,14206
993,891,2103,1625,5177
994,779,741,9588,9631
995,1,3041,9379,5168
996,3989,2194,12374,19038
997,4732,2789,7567,1887
998,0,2607,10820,2633
999,4320,1036,964,2871
1000,5657,595,12407,12395
1001,1468,561,9186,9786
1002,6058,297,8135,2657
1003,2989,2213,7443,22638
1004,0,409,5774,20515
1005,6228,2742,9376,5308
1006,3815,2119,13263,17852
1007,1005,268,32,8772
1008,1,742,12953,8890
1009,1,119,5458,7796
1010,282,2667,1117,3409
1011,5258,1319,9033,11651
1012,700,2836,8597,11786
1013,4490,1277,9115,11021
1014,1356,582,7137,19864
1015,3427,1444,4253,15064
1016,275,648,5422,19467
1017,1,1401,13330,9920
1018,5195,1087,10536,8417
1019,1,2983,9233,1344
1020,4592,1718,7373,17199
1021,1,1008,9369,1237
1022,2159,1050,32,13045
1023,5527,2956,9011,6462
1024,1470,1718,12221,13953
1025,4787,2610,8575,11841
1026,0,994,10696,23529
1027,4417,2279,32,6402
1028,5361,1873,13108,18339
1029,2159,1825,32,13045
1030,1,1998,5601,447
1031,1,1495,891,2667
1032,2430,1444,10051,22029
1033,5538,1491,32,19050
1034,2967,2805,4784,9458
1035,4082,2307,6964,4618
1036,2231,1819,13529,4931
1037,861,2662,9595,4827
1038,1310,580,1704,5401
1039,3915,2664,9922,13843
1040,1498,1014,12291,16841
1041,0,1538,2510,15828
1042,3067,2667,13271,19881
1043,1,994,63,23020
1044,1995,1918,9353,15941
1045,5161,766,9020,2963
1046,436,3004,13538,90
1047,3939,308,8521,13677
1048,5381,1276,6132,21445
1049,5593,3309,8474,15336
